"","Project","Owner.s.","Confidence","variable","value"
"246","Charley Creek - Cattle Creek ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","LREO",2.33736712319682
"247","Charley Creek - Western Dam ","Crossland Strategic Metals Ltd.","Measured + Indicated + Inferred","LREO",2.51964011869436
"248","Clay-Howells","Canada Rare Earth Corp.","Measured + Indicated + Inferred","LREO",0.675
"249","Dubbo Zirconia Project","Alkane Resources Ltd.","Measured + Indicated + Inferred","LREO",0.7031
"250","Eco Ridge","Pele Mountain Resources Inc.","Measured + Indicated + Inferred","LREO",0.145132576766774
"251","Elliott Lake Teasdale","Appia Energy Corp.","Measured + Indicated + Inferred","LREO",0.175202468807798
"252","Foxtrot","Search Minerals Inc.","Measured + Indicated + Inferred","LREO",0.849818883174137
"253","Glenover ","Galileo Resources PLC","Measured + Indicated + Inferred","LREO",1.20530542900781
"254","Hoidas Lake ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","LREO",2.00855285243417
"255","Kipawa","Matamec Explorations Inc.","Measured + Indicated + Inferred","LREO",0.241656058986175
"256","Lavergne-Springer","Canada Rare Earth Corp.","Measured + Indicated + Inferred","LREO",1.12639694656489
"257","Lofdal","Namibia Rare Earths Inc.","Measured + Indicated + Inferred","LREO",0.117
"258","Milo","GBM Resources Ltd.","Measured + Indicated + Inferred","LREO",0.054
"259","Montviel","Geomega Resources Inc.","Measured + Indicated + Inferred","LREO",1.44294373503591
"260","Mount Weld CLD","Lynas Corporation Ltd.","Measured + Indicated + Inferred","LREO",9.54820859060403
"261","Mount Weld Duncan","Lynas Corporation Ltd.","Measured + Indicated + Inferred","LREO",4.71648
"262","Mrima Hill High Grade","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","LREO",6.66221935801799
"263","Mrima Hill Main","Pacific Wildcat Resources Corp.","Measured + Indicated + Inferred","LREO",4.14581626158079
"264","Nechalacho Basal","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","LREO",1.2652363515202
"265","Nechalacho Upper","Avalon Rare Metals Inc.","Measured + Indicated + Inferred","LREO",1.32509609511052
"266","Ngualla","Peak Resources Ltd.","Measured + Indicated + Inferred","LREO",2.24800146666667
"267","Nolans","Arafura Resources Ltd.","Measured + Indicated + Inferred","LREO",2.5232077167019
"268","Norra Kärr","Tasman Metals Ltd.","Measured + Indicated + Inferred","LREO",0.312753580034423
"269","Olserum","Tasman Metals Ltd.","Measured + Indicated + Inferred","LREO",0.417673076923077
"270","Round Top","Texas Rare Earth Resources Corp.","Measured + Indicated + Inferred","LREO",0.0186092721328449
"271","Sarfartoq","Hudson Resources Inc.","Measured + Indicated + Inferred","LREO",1.70609661992089
"272","Songwe Hill","Mkango Resources Ltd.","Measured + Indicated + Inferred","LREO",1.39877959067181
"273","Steenkampskraal - In Situ","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","LREO",13.6539741518578
"274","Steenkampskraal - Tailings","Great Western Minerals  Ltd.","Measured + Indicated + Inferred","LREO",6.715
"275","Strange Lake Enriched","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","LREO",0.766
"276","Strange Lake Granite","Quest Rare Minerals Ltd.","Measured + Indicated + Inferred","LREO",0.57663892316582
"277","Tantalus","Tantalus Rare Earths AG","Measured + Indicated + Inferred","LREO",0.0759865575089416
"278","Two Tom","Canada Rare Earth Corp.","Measured + Indicated + Inferred","LREO",1.13
"279","Wigu Hill Twiga","Montero Mining and Exploration Ltd.","Measured + Indicated + Inferred","LREO",2.6676
"280","Xiluvo","Promac Lda.","Measured + Indicated + Inferred","LREO",1.92
"281","Yangibana ","Hastings Rare Metals Limited","Measured + Indicated + Inferred","LREO",1.50736089808395
"282","Zandkopsdrift ","Frontier Rare Earths Ltd.","Measured + Indicated + Inferred","LREO",2.10501412503766
"283","Bear Lodge","Rare Element Resources Ltd.","Proven + Probable","LREO",2.8966296819788
"284","Dubbo Zirconia Project","Alkane Resources Ltd.","Proven + Probable","LREO",0.696974366824381
"285","Kipawa","Matamec Explorations Inc.","Proven + Probable","LREO",0.2736
"286","Mount Weld CLD","Lynas Corporation Ltd.","Proven + Probable","LREO",11.5876556701031
"287","Mountain Pass","Molycorp Inc.","Proven + Probable","LREO",7.96960862154041
"288","Nechalacho Basal","Avalon Rare Metals Inc.","Proven + Probable","LREO",1.31493722120548
"289","Ngualla","Peak Resources Ltd.","Proven + Probable","LREO",4.5262972173913
"290","Norra Kärr","Tasman Metals Ltd.","Proven + Probable","LREO",0.29958
"291","Strange Lake Enriched","Quest Rare Minerals Ltd.","Proven + Probable","LREO",0.6637
"292","Araxá","MBAC Fertilizer Corp.","Measured + Indicated","CREO",0.728243937007874
